,artist_id,artist_name
1049,3697,卢冠廷
1050,3686,罗大佑
1051,4125,骆集益
1052,4393,李代沫
1053,1039223,麦吾兰江
1054,4489,MC仁
1055,4538,马常胜
1056,4651,马博
1057,816093,茉莉僧
1058,1057144,嫩桃弟弟
1059,1050258,Nayim.Nabi
1060,4673,嫩桃
1061,1000103,柠檬树
1062,4667,聂琳峰
1063,4055,赖伟锋
1064,4015,冷漠
1065,3701,黎明
1066,3698,罗文
1067,826336,马雨阳
1068,4481,满江
1069,4527,马上又
1070,4552,毛毛
1071,1039663,Mc苏刚
1072,1019357,Nacid
1073,1039297,NEMY金属怪兽
1074,1039572,南山雨林
1075,4660,钮大可
1076,4686,南卓仁波切
1077,4093,李行亮
1078,3715,梁朝伟
1079,3713,刘东明
1080,981141,伦桑
1081,4490,马浚伟
1082,4607,马丁
1083,4576,毛方圆
1084,12314,先知歌者麦子
1085,4677,宁峰
1086,4665,牛朝阳
1087,1039882,Nellee
1088,4669,糯米
1089,935138,倪力
1090,4006,梁晓雪
1091,3690,卢广仲
1092,4130,李玉刚
1093,893267,李琦
1094,166010,梁博
1095,1041122,Mr.岑
1096,896274,mAjorHon
1097,792162,M80
1098,4621,闫东炜
1099,1040026,NO.59
1100,1044122,南味SOUTHFEEL
1101,1039680,南涩雨
1102,1039848,Nano33号
1103,4656,牛建党
1104,3723,吕方
1105,3798,卢中强
1106,3848,刘允乐
1107,4069,六哲
1108,855488,罗艺恒
1109,858161,马潇
1110,1049850,MC张凯
1111,817036,蒙面哥
1112,1112008,Mr.Cali
1113,4496,麦子杰
1114,1058125,N2V
1115,1043403,南骧书戎
1116,1041003,泥丸
1117,1053166,南玛子呷
1118,1074042,Noicybino
1119,4080,刘心
1120,3956,罗家英
1121,961227,廖国钺
1122,816087,李晋
1123,4084,林奕匡
1124,1038405,Mc koz
1125,1178126,mc小洲
1126,187903,Mc光光
1127,4561,马三立
1128,866037,南味年糕
1129,1079101,南一
1130,1046339,南瓜饭
1131,220970,NANCY
1132,1050265,No.6
1133,3737,刘畊宏
1134,3687,林一峰
1135,3830,刘鹏
1136,3902,李晓杰
1137,3704,林志颖
1138,1050352,Madsam
1139,189932,猫饭
1140,1044174,MC人皇
1141,1132392,马思唯
1142,189831,Nencol&nbsp;
1143,1040204,逆风而行
1144,862131,倪敏然
1145,1041070,乃日戈
1146,4661,倪敏然&amp;倪嘉升
1147,3717,李云迪
1148,3762,吕思清
1149,3716,林隆璇
1150,4119,林坤信
1151,4590,马健涛
1152,4596,蒙克
1153,4578,莫染
1154,1064006,马铭远
1155,571797,chill&nbsp;boy
1156,797362,埖小迪
1157,1043110,Nero&nbsp;NEX
1158,1049159,Nathan Pelupessy
1159,1124323,男森RAP
1160,1050045,牛会龙
1161,3707,郎朗
1162,972029,李玉玺
1163,3700,李泉
1164,3703,李寿全
1165,3789,李逸朗
